Year,Universities,Institutions Deemed to be Universities,Colleges,Total Enrolment
1976-77,105,9,4317,2431563
1977-78,108,9,4375,2564972
1978-79,108,10,4460,2618228
1979-80,112,10,4558,2648579
1980-81,116,12,4722,2752437
1981-82,120,12,4880,2952066
1982-83,125,14,5039,3133093
1983-84,126,14,5246,3307649
1984-85,132,16,5590,3404096
1985-86,136,17,5816,3605029
1986-87,143,21,6040,3757158
1987-88,144,22,6685,4020159
1988-89,145,27,6773,4285489
1989-90,149,28,7145,4602680
1990-91,150,29,7346,4924868
1991-92,155,31,7761,5265886
1992-93,159,31,7993,5534966
1993-94,163,34,8441,5817249
1994-95,168,36,9019,6113929
1995-96,171,37,9252,6574005
1996-97,172,38,9940,6842598
1997-98,182,39,10678,7260418
1998-99,182,40,11397,7705520
1999-00,189,42,11865,8050607
2000-01,193,47,12806,8399443
2001-02,196,52,15437,8964680
2002-03,200,81,16206,9516773
2003-04,213,89,16742,10201981
2004-05,229,96,18080,11038543
2005-06,241,101,19327,12043050
2006-07,249,109,21170,13163054
2007-08,272,103,23206,14400381
2008-09,300,128,25951,15768417
2009-10,363,130,31812,17243352
2010-11,393,130,33023,18670050
2011-12,445,129,35539,20327478
